sld,tld,status,message
"much",".hidns.vip","❌","undefined"
"need",".hidns.vip","❌","undefined"
"well",".hidns.vip","❌","undefined"
"life",".hidns.vip","❌","undefined"
"down",".hidns.vip","❌","undefined"
"come",".hidns.vip","❌","undefined"
"over",".hidns.vip","❌","undefined"
"think",".hidns.vip","❌","undefined"
"both",".hidns.vip","❌","undefined"
"even",".hidns.vip","❌","undefined"
"these",".hidns.vip","❌","undefined"
"only",".hidns.vip","❌","undefined"
"most",".hidns.vip","❌","undefined"
"give",".hidns.vip","❌","undefined"
"each",".hidns.vip","❌","undefined"
"look",".hidns.vip","❌","undefined"
"first",".hidns.vip","✅","true"
"find",".hidns.vip","❌","undefined"
"those",".hidns.vip","❌","undefined"
"tell",".hidns.vip","❌","undefined"
"same",".hidns.vip","❌","undefined"
"mean",".hidns.vip","❌","undefined"
"feel",".hidns.vip","❌","undefined"
"seem",".hidns.vip","❌","undefined"
"help",".hidns.vip","❌","undefined"
"leave",".hidns.vip","❌","undefined"
"call",".hidns.vip","❌","undefined"
"move",".hidns.vip","❌","undefined"
"long",".hidns.vip","❌","undefined"
"used",".hidns.vip","❌","undefined"
"since",".hidns.vip","❌","undefined"
"while",".hidns.vip","❌","undefined"
"great",".hidns.vip","❌","undefined"
"right",".hidns.vip","❌","undefined"
"three",".hidns.vip","❌","undefined"
"take",".hidns.vip","❌","undefined"
"where",".hidns.vip","❌","undefined"
"part",".hidns.vip","❌","undefined"
"last",".hidns.vip","❌","undefined"
"back",".hidns.vip","❌","undefined"
"went",".hidns.vip","❌","undefined"
"away",".hidns.vip","❌","undefined"
"days",".hidns.vip","❌","undefined"
"made",".hidns.vip","❌","undefined"
"done",".hidns.vip","❌","undefined"
"000",".hidns.vip","❌","undefined"
"111",".hidns.vip","❌","undefined"
"222",".hidns.vip","❌","undefined"
"333",".hidns.vip","❌","undefined"
"444",".hidns.vip","❌","undefined"
"555",".hidns.vip","❌","undefined"
"666",".hidns.vip","❌","undefined"
"777",".hidns.vip","❌","undefined"
"888",".hidns.vip","❌","undefined"
"999",".hidns.vip","❌","undefined"
"aaa",".hidns.vip","❌","undefined"
"bbb",".hidns.vip","❌","undefined"
"ccc",".hidns.vip","❌","undefined"
"ddd",".hidns.vip","❌","undefined"
"eee",".hidns.vip","❌","undefined"
"fff",".hidns.vip","❌","undefined"
"ggg",".hidns.vip","❌","undefined"
"hhh",".hidns.vip","❌","undefined"
"iii",".hidns.vip","❌","undefined"
"jjj",".hidns.vip","❌","undefined"
"kkk",".hidns.vip","❌","undefined"
"lll",".hidns.vip","❌","undefined"
"mmm",".hidns.vip","❌","undefined"
"nnn",".hidns.vip","❌","undefined"
"ooo",".hidns.vip","❌","undefined"
"ppp",".hidns.vip","❌","undefined"
"qqq",".hidns.vip","❌","undefined"
"rrr",".hidns.vip","❌","undefined"
"sss",".hidns.vip","❌","undefined"
"ttt",".hidns.vip","❌","undefined"
"uuu",".hidns.vip","❌","undefined"
"vvv",".hidns.vip","❌","undefined"
"www",".hidns.vip","❌","undefined"
"xxx",".hidns.vip","❌","undefined"
"yyy",".hidns.vip","❌","undefined"
"zzz",".hidns.vip","❌","undefined"
"any",".hidns.co","❌","undefined"
"our",".hidns.co","❌","undefined"
"day",".hidns.co","❌","undefined"
"get",".hidns.co","❌","undefined"
"how",".hidns.co","❌","undefined"
"man",".hidns.co","❌","undefined"
"new",".hidns.co","❌","undefined"
"now",".hidns.co","❌","undefined"
"old",".hidns.co","❌","undefined"
"see",".hidns.co","❌","undefined"
"way",".hidns.co","❌","undefined"
"boy",".hidns.co","❌","undefined"
"did",".hidns.co","❌","undefined"
"its",".hidns.co","❌","undefined"
"let",".hidns.co","❌","undefined"
"put",".hidns.co","❌","undefined"
"say",".hidns.co","❌","undefined"
"too",".hidns.co","❌","undefined"
"use",".hidns.co","❌","undefined"
"dad",".hidns.co","❌","undefined"
"mom",".hidns.co","❌","undefined"
"off",".hidns.co","❌","undefined"
"set",".hidns.co","❌","undefined"
"ago",".hidns.co","❌","undefined"
"end",".hidns.co","❌","undefined"
"law",".hidns.co","❌","undefined"
"pen",".hidns.co","❌","undefined"
"ran",".hidns.co","❌","undefined"
"sun",".hidns.co","❌","undefined"
"add",".hidns.co","❌","undefined"
"aid",".hidns.co","❌","undefined"
"arm",".hidns.co","✅","true"
"bad",".hidns.co","❌","undefined"
"big",".hidns.co","❌","undefined"
"box",".hidns.co","❌","undefined"
"buy",".hidns.co","❌","undefined"
"car",".hidns.co","❌","undefined"
"cut",".hidns.co","❌","undefined"
"dog",".hidns.co","❌","undefined"
"eat",".hidns.co","❌","undefined"
"fan",".hidns.co","❌","undefined"
"far",".hidns.co","❌","undefined"
"few",".hidns.co","❌","undefined"
"fit",".hidns.co","❌","undefined"
"fly",".hidns.co","❌","undefined"
"fun",".hidns.co","❌","undefined"
"gas",".hidns.co","❌","undefined"
"got",".hidns.co","❌","undefined"
"guy",".hidns.co","❌","undefined"
"hot",".hidns.co","❌","undefined"
"job",".hidns.co","❌","undefined"
"key",".hidns.co","❌","undefined"
"kid",".hidns.co","❌","undefined"
"lie",".hidns.co","❌","undefined"
"lot",".hidns.co","❌","undefined"
"mad",".hidns.co","❌","undefined"
"map",".hidns.co","❌","undefined"
"may",".hidns.co","❌","undefined"
"mix",".hidns.co","❌","undefined"
"net",".hidns.co","❌","undefined"
"nor",".hidns.co","❌","undefined"
"oil",".hidns.co","❌","undefined"
"own",".hidns.co","❌","undefined"
"pay",".hidns.co","❌","undefined"
"red",".hidns.co","❌","undefined"
"row",".hidns.co","❌","undefined"
"rub",".hidns.co","❌","undefined"
"sad",".hidns.co","❌","undefined"
"sea",".hidns.co","❌","undefined"
"sit",".hidns.co","❌","undefined"
"son",".hidns.co","❌","undefined"
"tax",".hidns.co","❌","undefined"
"ten",".hidns.co","❌","undefined"
"top",".hidns.co","❌","undefined"
"try",".hidns.co","❌","undefined"
"war",".hidns.co","❌","undefined"
"yes",".hidns.co","❌","undefined"
"yet",".hidns.co","❌","undefined"
"able",".hidns.co","❌","undefined"
"also",".hidns.co","❌","undefined"
"came",".hidns.co","❌","undefined"
"does",".hidns.co","❌","undefined"
"fine",".hidns.co","❌","undefined"
"goes",".hidns.co","❌","undefined"
"gone",".hidns.co","❌","undefined"
"here",".hidns.co","❌","undefined"
"keep",".hidns.co","❌","undefined"
"kind",".hidns.co","❌","undefined"
"knew",".hidns.co","❌","undefined"
"must",".hidns.co","❌","undefined"
"name",".hidns.co","❌","undefined"
"near",".hidns.co","❌","undefined"
"next",".hidns.co","❌","undefined"
"open",".hidns.co","❌","undefined"
"play",".hidns.co","❌","undefined"
"send",".hidns.co","❌","undefined"
"show",".hidns.co","❌","undefined"
"side",".hidns.co","❌","undefined"
"after",".hidns.co","❌","undefined"
"again",".hidns.co","❌","undefined"
"always",".hidns.co","✅","true"
"around",".hidns.co","❌","undefined"
"before",".hidns.co","❌","undefined"
"being",".hidns.co","❌","undefined"
"cause",".hidns.co","❌","undefined"
"could",".hidns.co","❌","undefined"
"every",".hidns.co","❌","undefined"
"found",".hidns.co","❌","undefined"
"going",".hidns.co","❌","undefined"
"never",".hidns.co","❌","undefined"
"often",".hidns.co","❌","undefined"
"other",".hidns.co","❌","undefined"
"place",".hidns.co","❌","undefined"
"still",".hidns.co","❌","undefined"
"thing",".hidns.co","❌","undefined"
"under",".hidns.co","❌","undefined"
"until",".hidns.co","❌","undefined"
"people",".hidns.co","❌","undefined"
"number",".hidns.co","❌","undefined"
"little",".hidns.co","❌","undefined"
"enough",".hidns.co","❌","undefined"
"though",".hidns.co","❌","undefined"
"through",".hidns.co","❌","undefined"
"because",".hidns.co","❌","undefined"
"without",".hidns.co","❌","undefined"
"another",".hidns.co","❌","undefined"
"between",".hidns.co","❌","undefined"
"something",".hidns.co","❌","undefined"
"country",".hidns.co","❌","undefined"
"problem",".hidns.co","❌","undefined"
"against",".hidns.co","✅","true"
"company",".hidns.co","❌","undefined"
"include",".hidns.co","❌","undefined"
"program",".hidns.co","❌","undefined"
"believe",".hidns.co","❌","undefined"
"develop",".hidns.co","❌","undefined"
"increase",".hidns.co","❌","undefined"
"continue",".hidns.co","❌","undefined"
"anything",".hidns.co","❌","undefined"
"question",".hidns.co","❌","undefined"
"although",".hidns.co","❌","undefined"
"remember",".hidns.co","❌","undefined"
"nothing",".hidns.co","❌","undefined"
"actually",".hidns.co","✅","true"
"consider",".hidns.co","❌","undefined"
"water",".hidns.co","❌","undefined"
"world",".hidns.co","❌","undefined"
"write",".hidns.co","❌","undefined"
"third",".hidns.co","❌","undefined"
"today",".hidns.co","❌","undefined"
"above",".hidns.co","✅","true"
"group",".hidns.co","❌","undefined"
"point",".hidns.co","✅","true"
"start",".hidns.co","❌","undefined"
"state",".hidns.co","❌","undefined"
"study",".hidns.co","❌","undefined"
"table",".hidns.co","❌","undefined"
"young",".hidns.co","❌","undefined"
"close",".hidns.co","❌","undefined"
"night",".hidns.co","❌","undefined"
"order",".hidns.co","❌","undefined"
"issue",".hidns.co","❌","undefined"
"level",".hidns.co","❌","undefined"
"power",".hidns.co","❌","undefined"
"south",".hidns.co","❌","undefined"
"house",".hidns.co","❌","undefined"
"story",".hidns.co","❌","undefined"
"whole",".hidns.co","❌","undefined"
"clear",".hidns.co","❌","undefined"
"early",".hidns.co","❌","undefined"
"heart",".hidns.co","❌","undefined"
"human",".hidns.co","❌","undefined"
"later",".hidns.co","❌","undefined"
"learn",".hidns.co","❌","undefined"
"money",".hidns.co","❌","undefined"
"movie",".hidns.co","❌","undefined"
"north",".hidns.co","❌","undefined"
"plant",".hidns.co","❌","undefined"
"sense",".hidns.co","❌","undefined"
"types",".hidns.co","❌","undefined"
"units",".hidns.co","❌","undefined"
"force",".hidns.co","❌","undefined"
"field",".hidns.co","❌","undefined"
"local",".hidns.co","❌","undefined"
"along",".hidns.co","❌","undefined"
"among",".hidns.co","❌","undefined"
"black",".hidns.co","❌","undefined"
"white",".hidns.co","❌","undefined"
"music",".hidns.co","❌","undefined"
"trade",".hidns.co","❌","undefined"
"voice",".hidns.co","❌","undefined"
"alone",".hidns.co","❌","undefined"
"check",".hidns.co","❌","undefined"
"price",".hidns.co","❌","undefined"
"reach",".hidns.co","❌","undefined"
"range",".hidns.co","✅","true"
"paper",".hidns.co","✅","true"
"round",".hidns.co","❌","undefined"
"offer",".hidns.co","✅","true"
"store",".hidns.co","❌","Domain is already registered"
"agree",".hidns.co","❌","undefined"
"bring",".hidns.co","❌","undefined"
"carry",".hidns.co","❌","undefined"
"cover",".hidns.co","❌","undefined"
"drive",".hidns.co","❌","undefined"
"speak",".hidns.co","❌","undefined"
"apply",".hidns.co","❌","undefined"
"argue",".hidns.co","❌","undefined"
"occur",".hidns.co","✅","true"
"serve",".hidns.co","❌","undefined"
"allow",".hidns.co","❌","undefined"
"enter",".hidns.co","❌","undefined"
"exist",".hidns.co","❌","undefined"
"prove",".hidns.co","❌","undefined"
"raise",".hidns.co","✅","true"
"relate",".hidns.co","❌","undefined"
"remain",".hidns.co","❌","undefined"
"spend",".hidns.co","❌","undefined"
"stand",".hidns.co","❌","undefined"
"teach",".hidns.co","❌","undefined"
"visit",".hidns.co","❌","undefined"
"watch",".hidns.co","❌","undefined"
"accept",".hidns.co","❌","undefined"
"decide",".hidns.co","❌","undefined"
"expect",".hidns.co","❌","undefined"
"appear",".hidns.co","❌","undefined"
"create",".hidns.co","❌","undefined"
"invite",".hidns.co","❌","undefined"
"reduce",".hidns.co","❌","undefined"
"return",".hidns.co","❌","undefined"
"season",".hidns.co","❌","undefined"
"simple",".hidns.co","❌","undefined"
"travel",".hidns.co","❌","undefined"
"worker",".hidns.co","❌","undefined"
"across",".hidns.co","❌","undefined"
"effect",".hidns.co","❌","undefined"
"effort",".hidns.co","❌","undefined"
"matter",".hidns.co","❌","undefined"
"manage",".hidns.co","❌","undefined"
"source",".hidns.co","✅","true"
"course",".hidns.co","❌","undefined"
"record",".hidns.co","❌","undefined"
"result",".hidns.co","✅","true"
"action",".hidns.co","❌","undefined"
"change",".hidns.co","❌","undefined"
"market",".hidns.co","❌","undefined"
"member",".hidns.co","❌","undefined"
"reason",".hidns.co","❌","undefined"
"series",".hidns.co","❌","undefined"
"church",".hidns.co","❌","undefined"
"degree",".hidns.co","❌","undefined"
"rather",".hidns.co","❌","undefined"
"future",".hidns.co","❌","undefined"
"notice",".hidns.co","❌","undefined"
"parent",".hidns.co","❌","undefined"
"social",".hidns.co","❌","undefined"
"center",".hidns.co","❌","undefined"
"policy",".hidns.co","❌","undefined"
"window",".hidns.co","❌","undefined"
"letter",".hidns.co","❌","undefined"
"street",".hidns.co","❌","undefined"
"summer",".hidns.co","❌","undefined"
"answer",".hidns.co","❌","undefined"
"design",".hidns.co","❌","undefined"
"growth",".hidns.co","❌","undefined"
"object",".hidns.co","❌","undefined"
"report",".hidns.co","❌","undefined"
"within",".hidns.co","❌","undefined"
"better",".hidns.co","❌","undefined"
"common",".hidns.co","❌","undefined"
"direct",".hidns.co","❌","undefined"
"easily",".hidns.co","❌","undefined"
"single",".hidns.co","❌","undefined"
"unable",".hidns.co","❌","undefined"
"energy",".hidns.co","❌","undefined"
"others",".hidns.co","❌","undefined"
"couple",".hidns.co","❌","undefined"
"friend",".hidns.co","❌","undefined"
"modern",".hidns.co","✅","true"
"recent",".hidns.co","❌","undefined"
"strong",".hidns.co","❌","undefined"
"access",".hidns.co","✅","true"
"detail",".hidns.co","❌","undefined"
"entire",".hidns.co","❌","undefined"
"follow",".hidns.co","❌","undefined"
"itself",".hidns.co","❌","undefined"
"likely",".hidns.co","❌","undefined"
"method",".hidns.co","❌","undefined"
"office",".hidns.co","❌","undefined"
"beyond",".hidns.co","❌","undefined"
"budget",".hidns.co","❌","undefined"
"choice",".hidns.co","❌","undefined"
"decade",".hidns.co","✅","true"
"expert",".hidns.co","❌","undefined"
"firmly",".hidns.co","❌","undefined"
"global",".hidns.co","❌","undefined"
"impact",".hidns.co","❌","undefined"
"indeed",".hidns.co","❌","undefined"
"marine",".hidns.co","❌","undefined"
"any",".hidns.vip","❌","undefined"
"our",".hidns.vip","❌","undefined"
"day",".hidns.vip","❌","undefined"
"get",".hidns.vip","❌","undefined"
"how",".hidns.vip","❌","undefined"
"man",".hidns.vip","❌","undefined"
"new",".hidns.vip","❌","undefined"
"now",".hidns.vip","❌","undefined"
"old",".hidns.vip","❌","undefined"
"see",".hidns.vip","❌","undefined"
"way",".hidns.vip","❌","undefined"
"boy",".hidns.vip","❌","undefined"
"did",".hidns.vip","❌","undefined"
"its",".hidns.vip","❌","undefined"
"let",".hidns.vip","❌","undefined"
"put",".hidns.vip","❌","undefined"
"say",".hidns.vip","❌","undefined"
"too",".hidns.vip","❌","undefined"
"use",".hidns.vip","❌","undefined"
"dad",".hidns.vip","❌","undefined"
"mom",".hidns.vip","❌","undefined"
"off",".hidns.vip","❌","undefined"
"set",".hidns.vip","❌","undefined"
"ago",".hidns.vip","❌","undefined"
"end",".hidns.vip","❌","undefined"
"law",".hidns.vip","❌","undefined"
"pen",".hidns.vip","❌","undefined"
"ran",".hidns.vip","❌","undefined"
"sun",".hidns.vip","❌","undefined"
"add",".hidns.vip","❌","undefined"
"aid",".hidns.vip","❌","undefined"
"arm",".hidns.vip","✅","true"
"bad",".hidns.vip","❌","undefined"
"big",".hidns.vip","❌","undefined"
"box",".hidns.vip","❌","undefined"
"buy",".hidns.vip","❌","undefined"
"car",".hidns.vip","❌","undefined"
"cut",".hidns.vip","❌","undefined"
"dog",".hidns.vip","❌","undefined"
"eat",".hidns.vip","❌","undefined"
"fan",".hidns.vip","❌","undefined"
"far",".hidns.vip","❌","undefined"
"few",".hidns.vip","❌","undefined"
"fit",".hidns.vip","❌","undefined"
"fly",".hidns.vip","❌","undefined"
"fun",".hidns.vip","❌","undefined"
"gas",".hidns.vip","❌","undefined"
"got",".hidns.vip","❌","undefined"
"guy",".hidns.vip","❌","undefined"
"hot",".hidns.vip","❌","undefined"
"job",".hidns.vip","❌","undefined"
"key",".hidns.vip","❌","undefined"
"kid",".hidns.vip","❌","undefined"
"lie",".hidns.vip","❌","undefined"
"lot",".hidns.vip","❌","undefined"
"mad",".hidns.vip","❌","undefined"
"map",".hidns.vip","❌","undefined"
"may",".hidns.vip","❌","undefined"
"mix",".hidns.vip","❌","undefined"
"net",".hidns.vip","❌","undefined"
"nor",".hidns.vip","❌","undefined"
"oil",".hidns.vip","❌","undefined"
"own",".hidns.vip","❌","undefined"
"pay",".hidns.vip","❌","undefined"
"red",".hidns.vip","❌","undefined"
"row",".hidns.vip","❌","undefined"
"rub",".hidns.vip","❌","undefined"
"sad",".hidns.vip","❌","undefined"
"sea",".hidns.vip","❌","undefined"
"sit",".hidns.vip","❌","undefined"
"son",".hidns.vip","❌","undefined"
"tax",".hidns.vip","❌","undefined"
"ten",".hidns.vip","❌","undefined"
"top",".hidns.vip","❌","undefined"
"try",".hidns.vip","❌","undefined"
"war",".hidns.vip","❌","undefined"
"yes",".hidns.vip","❌","undefined"
"yet",".hidns.vip","❌","undefined"
"able",".hidns.vip","❌","undefined"
"also",".hidns.vip","❌","undefined"
"came",".hidns.vip","❌","undefined"
"does",".hidns.vip","❌","undefined"
"fine",".hidns.vip","❌","undefined"
"goes",".hidns.vip","❌","undefined"
"gone",".hidns.vip","❌","undefined"
"here",".hidns.vip","❌","undefined"
"keep",".hidns.vip","❌","undefined"
"kind",".hidns.vip","❌","undefined"
"knew",".hidns.vip","❌","undefined"
"must",".hidns.vip","❌","undefined"
"name",".hidns.vip","❌","undefined"
"near",".hidns.vip","❌","undefined"
"next",".hidns.vip","❌","undefined"
"open",".hidns.vip","❌","undefined"
"play",".hidns.vip","❌","undefined"
"send",".hidns.vip","❌","undefined"
"show",".hidns.vip","❌","undefined"
"side",".hidns.vip","❌","undefined"
"after",".hidns.vip","❌","undefined"
"again",".hidns.vip","❌","undefined"
"always",".hidns.vip","✅","true"
"around",".hidns.vip","❌","undefined"
"before",".hidns.vip","❌","undefined"
"being",".hidns.vip","❌","undefined"
"cause",".hidns.vip","❌","undefined"
"could",".hidns.vip","❌","undefined"
"every",".hidns.vip","❌","undefined"
"found",".hidns.vip","❌","undefined"
"going",".hidns.vip","❌","undefined"
"never",".hidns.vip","❌","undefined"
"often",".hidns.vip","❌","undefined"
"other",".hidns.vip","❌","undefined"
"place",".hidns.vip","❌","undefined"
"still",".hidns.vip","❌","undefined"
"thing",".hidns.vip","❌","undefined"
"under",".hidns.vip","❌","undefined"
"until",".hidns.vip","❌","undefined"
"people",".hidns.vip","❌","undefined"
"number",".hidns.vip","❌","undefined"
"little",".hidns.vip","❌","undefined"
"enough",".hidns.vip","❌","undefined"
"though",".hidns.vip","❌","undefined"
"through",".hidns.vip","❌","undefined"
"because",".hidns.vip","❌","undefined"
"without",".hidns.vip","❌","undefined"
"another",".hidns.vip","❌","undefined"
"between",".hidns.vip","❌","undefined"
"something",".hidns.vip","❌","undefined"
"country",".hidns.vip","❌","undefined"
"problem",".hidns.vip","❌","undefined"
"against",".hidns.vip","✅","true"
"company",".hidns.vip","❌","undefined"
"include",".hidns.vip","❌","undefined"
"program",".hidns.vip","❌","undefined"
"believe",".hidns.vip","❌","undefined"
"develop",".hidns.vip","❌","undefined"
"increase",".hidns.vip","❌","undefined"
"continue",".hidns.vip","❌","undefined"
"anything",".hidns.vip","❌","undefined"
"question",".hidns.vip","❌","undefined"
"although",".hidns.vip","❌","undefined"
"remember",".hidns.vip","❌","undefined"
"nothing",".hidns.vip","❌","undefined"
"actually",".hidns.vip","✅","true"
"consider",".hidns.vip","❌","undefined"
"water",".hidns.vip","❌","undefined"
"world",".hidns.vip","❌","undefined"
"write",".hidns.vip","❌","undefined"
"third",".hidns.vip","❌","undefined"
"today",".hidns.vip","❌","undefined"
"above",".hidns.vip","✅","true"
"group",".hidns.vip","❌","undefined"
"point",".hidns.vip","✅","true"
"start",".hidns.vip","❌","undefined"
"state",".hidns.vip","❌","undefined"
"study",".hidns.vip","❌","undefined"
"table",".hidns.vip","❌","undefined"
"young",".hidns.vip","❌","undefined"
"close",".hidns.vip","❌","undefined"
"night",".hidns.vip","❌","undefined"
"order",".hidns.vip","❌","undefined"
"issue",".hidns.vip","❌","undefined"
"level",".hidns.vip","❌","undefined"
"power",".hidns.vip","❌","undefined"
"south",".hidns.vip","❌","undefined"
"house",".hidns.vip","❌","undefined"
"story",".hidns.vip","❌","undefined"
"whole",".hidns.vip","❌","undefined"
"clear",".hidns.vip","❌","undefined"
"early",".hidns.vip","❌","undefined"
"heart",".hidns.vip","❌","undefined"
"human",".hidns.vip","❌","undefined"
